12:51:25 URI: /docs/7 | recurso: docs | id: 7 | subrecurso:  | metodo: PUT
12:53:00 URI: /docs/7 | recurso: docs | id: 7 | subrecurso:  | metodo: PUT
12:53:00 URI: /docs | recurso: docs | id:  | subrecurso:  | metodo: GET
12:53:05 URI: /docs-categorias | recurso: docs-categorias | id:  | subrecurso:  | metodo: GET
12:53:05 URI: /proyectos | recurso: proyectos | id:  | subrecurso:  | metodo: GET
12:53:05 URI: /docs | recurso: docs | id:  | subrecurso:  | metodo: GET
12:53:08 URI: /docs/7 | recurso: docs | id: 7 | subrecurso:  | metodo: PUT
12:53:08 URI: /docs | recurso: docs | id:  | subrecurso:  | metodo: GET
12:53:09 URI: /proyectos | recurso: proyectos | id:  | subrecurso:  | metodo: GET
12:53:10 URI: /proyectos/7 | recurso: proyectos | id: 7 | subrecurso:  | metodo: GET
12:53:10 URI: /proyectos/7/archivos | recurso: proyectos | id: 7 | subrecurso: archivos | metodo: GET
12:53:10 URI: /docs | recurso: docs | id:  | subrecurso:  | metodo: GET
12:53:10 URI: /docs-categorias | recurso: docs-categorias | id:  | subrecurso:  | metodo: GET
12:53:13 URI: /proyectos | recurso: proyectos | id:  | subrecurso:  | metodo: GET
12:53:14 URI: /proyectos/6 | recurso: proyectos | id: 6 | subrecurso:  | metodo: GET
12:53:14 URI: /proyectos/6/archivos | recurso: proyectos | id: 6 | subrecurso: archivos | metodo: GET
12:53:14 URI: /docs-categorias | recurso: docs-categorias | id:  | subrecurso:  | metodo: GET
12:53:16 URI: /proyectos | recurso: proyectos | id:  | subrecurso:  | metodo: GET
12:53:17 URI: /proyectos/5 | recurso: proyectos | id: 5 | subrecurso:  | metodo: GET
12:53:17 URI: /docs-categorias | recurso: docs-categorias | id:  | subrecurso:  | metodo: GET
12:53:17 URI: /proyectos/5/archivos | recurso: proyectos | id: 5 | subrecurso: archivos | metodo: GET
12:53:19 URI: /proyectos | recurso: proyectos | id:  | subrecurso:  | metodo: GET
12:53:20 URI: /proyectos/1 | recurso: proyectos | id: 1 | subrecurso:  | metodo: GET
12:53:20 URI: /proyectos/1/archivos | recurso: proyectos | id: 1 | subrecurso: archivos | metodo: GET
12:53:20 URI: /docs-categorias | recurso: docs-categorias | id:  | subrecurso:  | metodo: GET
12:53:20 URI: /docs | recurso: docs | id:  | subrecurso:  | metodo: GET
13:00:25 URI: /auth/me | recurso: auth | id:  | subrecurso:  | metodo: GET
13:00:25 URI: /tecnologias | recurso: tecnologias | id:  | subrecurso:  | metodo: GET
13:00:25 URI: /usuarios | recurso: usuarios | id:  | subrecurso:  | metodo: GET
13:00:25 URI: /proyectos | recurso: proyectos | id:  | subrecurso:  | metodo: GET
13:00:26 URI: /proyectos/7 | recurso: proyectos | id: 7 | subrecurso:  | metodo: GET
13:00:26 URI: /proyectos/7/archivos | recurso: proyectos | id: 7 | subrecurso: archivos | metodo: GET
13:00:26 URI: /docs-categorias | recurso: docs-categorias | id:  | subrecurso:  | metodo: GET
13:00:26 URI: /docs | recurso: docs | id:  | subrecurso:  | metodo: GET
13:01:01 URI: /docs/7/proyectos/7 | recurso: docs | id: 7 | subrecurso: proyectos | metodo: DELETE
13:01:01 URI: /docs-categorias | recurso: docs-categorias | id:  | subrecurso:  | metodo: GET
13:01:01 URI: /docs | recurso: docs | id:  | subrecurso:  | metodo: GET
13:01:03 URI: /docs/5/proyectos/7 | recurso: docs | id: 5 | subrecurso: proyectos | metodo: DELETE
